City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,15.09,70,4,8.87,CL,1711741616
1,dali,25.7,100.1833,9.85,90,24,2.27,CN,1711741733
2,puerto natales,-51.7236,-72.4875,5.25,81,75,4.63,CL,1711741734
3,dapa,9.7594,126.0531,25.94,74,3,2.83,PH,1711741734
4,iqaluit,63.7506,-68.5145,-10.15,85,100,2.57,CA,1711741735
5,klyuchi,52.2667,79.1667,5.33,86,82,5.38,RU,1711741735
6,adamstown,-25.066,-130.1015,23.69,69,99,12.38,PN,1711741736
7,carnarvon,-24.8667,113.6333,24.59,60,15,7.81,AU,1711741736
8,port elizabeth,-33.918,25.5701,19.5,89,0,2.06,ZA,1711741737
9,ushuaia,-54.8,-68.3,1.81,93,75,10.8,AR,1711741628
10,kapuskasing,49.4169,-82.4331,-2.95,63,100,6.17,CA,1711741518
11,alenquer,-1.9417,-54.7383,26.69,83,100,2.53,BR,1711741738
12,stanley,54.868,-1.6985,7.29,92,20,2.06,GB,1711741739
13,morondava,-20.2833,44.2833,26.84,75,0,2.77,MG,1711741740
14,bilibino,68.0546,166.4372,-15.42,99,99,1.08,RU,1711741741
15,adrar,20.5022,-10.0711,24.94,17,5,3.0,MR,1711741741
16,tromso,69.6496,18.957,-2.99,63,0,2.06,NO,1711741742
17,constitucion,-35.3333,-72.4167,20.06,70,38,8.04,CL,1711741640
18,east london,-33.0153,27.9116,21.48,61,99,2.64,ZA,1711741540
19,jamestown,42.097,-79.2353,3.34,58,100,5.14,US,1711741743
20,isafjordur,66.0755,-23.124,-1.88,91,98,13.52,IS,1711741744
21,waitangi,-43.9535,-176.5597,13.23,79,100,1.79,NZ,1711741744
22,north bend,43.4065,-124.2243,16.2,51,0,2.06,US,1711741745
23,geraldton,-28.7667,114.6,14.23,94,34,2.06,AU,1711741461
24,churachandpur,24.3333,93.6667,16.13,87,73,0.8,IN,1711741746
25,namibe,-15.1961,12.1522,24.59,78,100,3.83,AO,1711741746
26,lihue,21.9789,-159.3672,25.58,83,100,8.23,US,1711741747
27,whitehorse,60.7161,-135.0538,3.9,51,20,6.17,CA,1711741533
28,brewton,31.1052,-87.0722,24.79,27,0,0.97,US,1711741748
29,arriaga,16.2333,-93.9,37.57,24,3,2.41,MX,1711741748
30,edinburgh of the seven seas,-37.0676,-12.3116,15.78,73,100,8.47,SH,1711741749
31,coquimbo,-29.9533,-71.3436,18.85,82,75,6.69,CL,1711741749
32,olonkinbyen,70.9221,-8.7187,-4.36,65,100,7.95,SJ,1711741750
33,ilulissat,69.2167,-51.1,-8.99,73,0,1.54,GL,1711741751
34,albany,42.6001,-73.9662,10.24,45,67,3.13,US,1711741505
35,constantia,44.1833,28.65,14.38,61,0,3.75,RO,1711741463
36,port-aux-francais,-49.35,70.2167,8.29,97,100,11.99,TF,1711741752
37,talnakh,69.4865,88.3972,-11.97,94,100,6.3,RU,1711741753
38,qaqortoq,60.7167,-46.0333,-1.29,80,1,1.88,GL,1711741753
39,nis,43.7031,7.2661,16.71,68,75,9.77,FR,1711741723
40,sao tome,0.3365,6.7273,28.11,82,100,2.14,ST,1711741754
41,choibalsan,48.0667,114.5,-15.15,73,0,4.08,MN,1711741755
42,newman,37.3138,-121.0208,14.57,65,100,8.49,US,1711741755
43,port mathurin,-19.6833,63.4167,26.55,85,100,5.83,MU,1711741756
44,bethel,41.3712,-73.414,13.12,36,0,7.2,US,1711741689
45,camacupa,-12.0167,17.4833,16.77,98,98,1.32,AO,1711741757
46,azacualpa,15.3433,-88.5514,22.36,93,100,0.16,HN,1711741757
47,sparti,37.0733,22.4297,17.19,69,46,0.4,GR,1711741758
48,port arthur,38.8,121.2667,9.12,59,95,3.04,CN,1711741760
49,gunjur,13.2019,-16.7339,25.04,53,100,5.66,GM,1711741760
50,kalymnos,36.95,26.9833,17.74,77,20,4.12,GR,1711741761
51,hithadhoo,-0.6,73.0833,29.36,70,100,2.85,MV,1711741761
52,port alfred,-33.5906,26.891,19.79,78,100,5.27,ZA,1711741762
53,vila franca do campo,37.7167,-25.4333,16.23,89,100,13.07,PT,1711741763
54,khatima,28.9167,79.9667,25.14,36,100,2.25,IN,1711741763
55,slave lake,55.2834,-114.769,-5.01,50,100,3.6,CA,1711741764
56,udachny,66.4167,112.4,-28.27,96,78,3.11,RU,1711741764
57,atafu village,-8.5421,-172.5159,29.43,73,100,4.58,TK,1711741710
58,mugia,43.1041,-9.2179,10.51,68,9,2.38,ES,1711741766
59,kostroma,57.7708,40.9344,5.68,95,100,5.36,RU,1711741563
60,acarau,-2.8856,-40.12,28.44,82,22,5.23,BR,1711741768
61,tsiombe,-25.3,45.4833,22.71,93,100,2.26,MG,1711741768
62,hermanus,-34.4187,19.2345,18.78,80,100,6.24,ZA,1711741769
63,palmer,42.1584,-72.3287,12.26,31,75,8.23,US,1711741769
64,invercargill,-46.4,168.35,10.01,95,99,2.63,NZ,1711741605
65,rio grande,-32.035,-52.0986,27.06,74,24,4.22,BR,1711741685
66,enewetak,11.3474,162.3373,27.29,74,100,8.13,MH,1711741771
67,wetumpka,32.5437,-86.2119,24.24,28,0,2.2,US,1711741771
68,kununurra,-15.7667,128.7333,25.99,89,99,0.0,AU,1711741597
69,blackmans bay,-43.0167,147.3167,12.63,90,96,1.19,AU,1711741772
70,amarante do maranhao,-5.5667,-46.7422,27.05,93,97,1.51,BR,1711741773
71,afaahiti,-17.75,-149.2833,28.93,78,94,8.49,PF,1711741773
72,puerto ayora,-0.7393,-90.3518,28.98,93,92,5.81,EC,1711741774
73,cabedelo,-6.9811,-34.8339,28.37,84,100,5.91,BR,1711741774
74,avarua,-21.2078,-159.775,29.03,84,40,3.09,CK,1711741775
75,qarqaraly,49.4058,75.4742,1.99,92,100,7.66,KZ,1711741775
76,west island,-12.1568,96.8225,26.99,78,100,3.6,CC,1711741776
77,vrangel',42.7297,133.0839,0.46,94,100,4.61,RU,1711741690
78,lautoka,-17.6167,177.4667,24.92,94,75,0.0,FJ,1711741777
79,jeremoabo,-10.075,-38.4808,32.05,39,28,6.28,BR,1711741778
80,grytviken,-54.2811,-36.5092,5.16,95,100,5.62,GS,1711741778
81,la ronge,55.1001,-105.2842,-4.88,79,100,4.12,CA,1711741497
82,anadyr,64.75,177.4833,-21.67,76,0,5.0,RU,1711741779
83,turtas,58.9417,69.1325,-6.27,93,100,4.35,RU,1711741780
84,dul'durga,50.6761,113.5931,-12.32,59,0,2.68,RU,1711741781
85,rongelap,11.1635,166.8941,27.12,74,90,8.92,MH,1711741781
